ticket_id,brand,channel,category,priority,created_at,resolved_at,agent_id,satisfaction_score
T0000002,KAYAK,social,Technical Issue,Urgent,2024-08-16 20:16:00,,A0031,
T0000340,priceline,email,Booking Change,Medium,2024-12-12 13:53:00,2024-12-12 16:16:24,A0055,
T0004016,agoda,social,GENERAL QUERY,High,2024-08-30 17:31:00,2024-08-30 19:37:36,A0050,2
T0002248,agoda,social,Booking Change,Low,2025-04-25 09:59:00,2025-04-25 22:47:00,A0046,
T0001649,agoda,phone,Billing,High,2025-03-25 19:54:00,,A0012,
T0004128,priceline,SOCIAL,General Query,Urgent,2025-01-24 14:49:00,2025-01-24 16:48:24,A0034,2
T0002109,KAYAK,chat,General Query,High,2024-12-31 12:46:00,2024-12-31 18:28:36,A0011,3
T0004110,priceline,e-mail,General Query,High,2024-07-16 18:22:00,2024-07-16 19:53:48,A0044,2
T0003931,KAYAK,CHAT,billing,Medium,2025-01-13 09:25:00,2025-01-13 15:37:00,A0031,
T0002172,agoda,social,billing,Low,2025-04-14 00:40:00,2025-04-14 15:45:24,A0011,3
T0001361,Booking.com,social,general query,Medium,2024-07-17 21:08:00,2024-07-18 01:05:00,A0005,7
T0000485,Booking.com,phone,General Query,Medium,2024-12-28 03:48:00,2024-12-28 06:49:12,A0032,8
T0002302,Booking.com,email,General Query ,Urgent,22/11/2024 01:38,2024-11-22 20:10:24,A0030,6
T0003899,KAYAK,Email,Bill,Low,2025-03-08 16:51:00,2025-03-08 17:33:36,A0021,4
T0000128,agoda,email,General Query,Urgent,2024-12-07 07:46:00,2024-12-07 08:17:12,A0004,5
T0002728,priceline,chat,Cancellation ,Medium,2024-07-28 08:10:00,2024-07-29 03:49:00,A0053,
T0002289,agoda,CHAT,Booking Change,Low,2024-06-07 19:49:00,2024-06-09 03:25:36,A0054,3
T0001902,Booking.com,chat,Billing,Urgent,19/12/2024 08:17,2024-12-19 10:49:24,A0024,4
T0001199,KAYAK,chat,BILLING,High,2025-01-25 05:18:00,2025-01-25 08:10:48,A0031,6
T0001792,KAYAK,chat,BILLING,Medium,2025-02-26 01:37:00,2025-02-26 12:49:00,A0045,
T0002797,KAYAK,phone,cancellation,High,2024-06-27 18:37:00,2024-06-28 01:15:24,A0023,
T0000436,agoda,chat,General Query,Low,2024-12-29 16:17:00,2024-12-29 23:47:00,A0006,4
T0003416,Booking.com,social,Billing,Urgent,2025-01-30 08:48:00,,A0046,
T0001647,priceline,e-mail,BOOKING CHANGE,Low,2024-11-02 15:16:00,2024-11-02 19:52:00,A0005,3
T0000546,priceline,social,Booking Change,Urgent,15/08/2024 00:32,2024-08-15 11:27:12,A0058,2
T0002644,Booking.com,phone,Booking Change,High,16/12/2024 03:18,2024-12-16 23:34:48,A0009,3
T0001757,KAYAK,phone,booking change,High,2024-07-17 05:32:00,2024-07-17 11:14:00,A0017,
T0004366,Booking.com,chat,Technical Issue,Urgent,13/03/2025 02:27,2025-03-13 02:49:12,A0007,2
T0003963,Booking.com,chat,GENERAL QUERY,High,2024-06-08 22:53:00,,A0016,
T0003208,agoda,chat,CANCELLATION,Low,21/01/2025 02:45,2025-01-21 10:12:00,A0059,3
T0003543,Booking.com,social,Billing ,High,2024-11-05 05:15:00,2024-11-05 12:47:24,A0055,
T0000915,Booking.com,chat,CANCELLATION,Low,2024-09-17 04:59:00,,A0003,
T0000763,agoda,phone,GENERAL QUERY,Low,2024-10-24 08:57:00,2024-10-24 17:12:36,A0014,3
T0000077,KAYAK,chat,BILLING,Medium,2025-04-05 16:46:00,2025-04-05 18:24:24,A0010,1
T0001474,Booking.com,social,Billing,Urgent,29/08/2024 10:37,2024-08-29 13:28:00,A0010,1
T0003356,agoda,phone,Cancellation,Urgent,2024-06-09 23:05:00,2024-06-10 05:50:36,A0034,2
T0001849,agoda,email,Billing ,High,2024-08-01 12:19:00,2024-08-01 17:20:48,A0045,4
T0003693,agoda,chat,Billing,Urgent,2024-12-23 06:22:00,2024-12-23 15:44:12,A0043,
T0004182,Booking.com,email,General Query,Low,2024-09-29 22:56:00,2024-09-30 22:54:48,A0027,4
T0001099,priceline,chat,Technical Issue ,Low,2025-03-09 19:41:00,2025-03-09 21:01:24,A0042,
T0004071,agoda,email,Technical Issue,Low,2024-11-19 07:37:00,2024-11-19 07:57:24,A0038,5
T0004230,agoda,chat,Booking Change,High,2024-07-04 10:32:00,,A0008,
T0003886,KAYAK,social,Booking Change,Medium,2024-12-02 22:39:00,2024-12-02 23:09:00,A0046,1
T0002131,Booking.com,chat,Billing,Medium,2025-01-18 20:40:00,2025-01-19 07:33:24,A0004,5
T0000264,KAYAK,social,Cancellation,High,2025-04-29 02:51:00,,A0021,
T0002714,KAYAK,CHAT,booking change,High,16/04/2025 09:23,,A0007,
T0002816,KAYAK,PHONE,Billing,Urgent,24/01/2025 17:52,2025-01-22 17:52:00,A0050,
T0002332,Booking.com,chat,General Query,Low,2025-03-18 19:58:00,2025-03-19 03:05:12,A0015,6
T0000231,Booking.com,Email,General Query,Urgent,2024-07-11 14:24:00,2024-07-11 18:53:24,A0045,
T0003928,agoda,social,General Query,Urgent,15/04/2025 18:12,2025-04-15 21:19:48,A0041,3
T0004564,Booking.com,phone,Cancellation,Low,2024-08-07 08:34:00,2024-08-07 11:59:48,A0014,
T0000221,KAYAK,phone,Technical Issue,Medium,27/12/2024 04:57,,A0043,
T0001748,Booking.com,phone,Technical Issue,High,17/07/2024 22:50,2024-07-17 23:29:00,A0018,
T0000202,Booking.com,chat,Billing,High,13/08/2024 09:46,2024-08-13 20:20:48,A0038,6
T0001458,Booking.com,chat,Booking Change,Low,2024-06-05 11:51:00,,A0057,
T0004046,priceline,chat,billing,Medium,14/06/2024 15:31,2024-06-15 06:42:24,A0021,
T0003477,priceline,chat,Cancellation,Urgent,2024-08-04 08:07:00,2024-08-04 19:14:12,A0029,
T0000010,agoda,social,general query,Medium,2024-07-02 23:22:00,,A0034,
T0004569,Booking.com,chat,billing,Low,2024-12-06 00:48:00,2024-12-06 10:36:36,A0024,4
T0002091,priceline,email,Cancellation,High,2024-11-30 16:31:00,,A0054,
T0004194,agoda,phone,Billing,Low,2025-02-05 09:56:00,2025-02-05 11:36:48,A0041,6
T0002443,agoda,email,General Query,Low,2024-09-01 06:25:00,2024-09-01 17:56:12,A0031,5
T0002667,priceline,email,Cancellation,High,20/11/2024 17:07,2024-11-21 08:29:12,A0056,3
T0003202,KAYAK,CHAT,Cancellation,High,2025-01-01 06:08:00,2025-01-01 15:52:24,A0024,2
T0001346,agoda,email,Bill,Medium,05/08/2024 16:36,2024-08-05 23:36:00,A0048,3
T0003660,Booking.com,email,booking change,Low,2024-12-25 10:03:00,,A0034,
T0004662,Booking.com,phone,General Query,Urgent,2024-07-25 18:35:00,2024-07-26 12:44:00,,
T0000327,KAYAK,social,Cancellation,High,2024-08-10 00:12:00,,A0047,
T0004893,priceline,email,Cancellation,Medium,2024-12-30 01:35:00,,A0042,
T0000698,Booking.com,phone,GENERAL QUERY,Low,2025-05-18 15:48:00,2025-05-18 20:14:24,A0053,
T0002808,agoda,chat,General Query,High,2024-09-23 14:21:00,2024-09-23 20:53:24,A0053,
T0003274,priceline,PHONE,Technical Issue,Low,05/06/2024 23:00,2024-06-06 10:29:24,A0021,5
T0001652,priceline,chat,Booking Change,Medium,2025-04-07 20:43:00,2025-04-08 00:40:00,A0006,1
T0001239,KAYAK,Email,Technical Issue,Low,2024-12-25 12:37:00,2024-12-26 00:22:00,A0010,
T0004433,KAYAK,email,Billing,High,2024-10-09 16:06:00,2024-10-10 01:32:24,A0030,
T0001034,priceline,phone,General Query,High,28/12/2024 15:00,2024-12-28 16:51:00,A0045,
T0000383,priceline,social,booking change,Urgent,2024-07-13 10:48:00,2024-07-13 19:22:12,A0021,5
T0001916,Booking.com,email,Booking Change,High,2024-06-15 15:38:00,2024-06-18 11:12:12,A0034,6
T0002193,agoda,social,Technical Issue,High,2025-03-29 15:26:00,2025-03-30 13:09:12,A0010,5
T0002418,agoda,chat,Technical Issue,Medium,2024-08-11 17:58:00,2024-08-11 20:25:36,A0042,
T0000015,Booking.com,chat,General Query,Urgent,2024-12-21 15:10:00,,A0013,
T0001895,priceline,chat,Booking Change,Urgent,2024-09-05 03:52:00,2024-09-05 08:22:00,A0044,2
T0003049,KAYAK,phone,Technical Issue,Medium,2024-08-10 07:42:00,2024-08-10 08:34:48,A0048,2
T0000561,Booking.com,social,billing,High,2024-10-07 20:10:00,,A0020,
T0004499,agoda,phone,General Query,Urgent,2025-03-26 12:17:00,2025-03-27 09:32:36,A0055,
T0004199,KAYAK,email,Cancellation,Urgent,01/06/2025 23:25,2025-06-02 06:08:48,A0032,
T0000445,priceline,phone,General Query,Urgent,2025-02-15 03:02:00,2025-02-15 13:02:00,A0030,
T0001163,priceline,email,Billing,High,2024-09-29 01:39:00,2024-09-29 04:30:00,A0053,9
T0000309,agoda,chat,Cancellation,Medium,09/06/2024 19:29,,A0054,
T0002932,priceline,email,Technical Issue,Urgent,2024-07-07 06:43:00,2024-07-07 17:08:12,A0054,1
T0002740,KAYAK,SOCIAL,Technical Issue,Low,2024-08-01 22:27:00,2024-08-02 06:23:24,A0039,
T0001021,priceline,Email,Technical Issue,Low,2024-06-17 11:14:00,2024-06-17 22:03:12,A0023,2
T0001911,priceline,phone,technical issue,Medium,2024-12-01 19:47:00,2024-12-02 03:51:48,A0041,7
T0002235,priceline,social,GENERAL QUERY,Low,30/03/2025 09:02,2025-03-31 06:50:36,A0039,3
T0001815,KAYAK,email,Billing,Urgent,2024-09-19 05:47:00,2024-09-19 08:19:24,A0033,
T0003070,Booking.com,phone,general query,High,01/11/2024 15:36,2024-11-01 22:21:36,A0060,3
T0004903,Booking.com,Email,General Query,Urgent,2025-03-08 10:20:00,2025-03-09 05:42:12,A0004,3
T0001498,Booking.com,email,Billing,High,2025-03-06 19:25:00,2025-03-07 05:18:24,A0048,6
T0000605,KAYAK,email,BOOKING CHANGE,Medium,2024-10-28 13:41:00,2024-10-28 21:39:12,A0006,4
T0001917,Booking.com,phone,Booking Change,Urgent,2025-03-15 16:28:00,,A0054,
T0000909,Booking.com,chat,cancellation,Urgent,01/01/2025 14:20,2025-01-01 21:47:36,A0060,4
T0001472,priceline,social,Billing ,Urgent,28/11/2024 18:33,2024-11-29 07:48:36,A0047,3
T0003759,Booking.com,phone,Cancellation,Urgent,2025-04-18 02:07:00,2025-04-18 08:19:00,A0035,5
T0001431,KAYAK,social,Billing,Urgent,03/04/2025 13:34,2025-04-03 15:05:12,A0026,
T0004730,priceline,e-mail,Cancellation,Medium,2024-06-08 06:53:00,2024-06-08 08:18:48,A0001,5
T0001038,priceline,phone,Billing ,Urgent,01/06/2024 09:14,2024-06-01 10:27:12,A0033,10
T0003601,agoda,email,TECHNICAL ISSUE,Urgent,25/08/2024 20:31,2024-08-26 00:52:36,A0004,5
T0004803,priceline,social,Booking Change,High,2024-06-02 11:29:00,2024-06-02 13:36:12,A0060,1
T0001132,agoda,chat,Technical Issue,Low,2024-10-18 10:22:00,2024-10-18 23:19:36,A0020,5
T0001322,KAYAK,email,Technical Issue,Low,2024-11-06 05:25:00,2024-11-06 17:44:12,A0020,3
T0004584,priceline,chat,Technical Issue,High,10/05/2025 06:52,2025-05-10 07:34:36,A0042,5
T0001136,priceline,SOCIAL,Billing,Medium,2025-05-01 07:55:00,2025-05-01 21:34:00,A0008,3
T0001058,priceline,social,Cancellation ,High,2024-12-04 14:32:00,2024-12-04 15:38:36,A0039,1
T0000473,priceline,chat,Cancellation,Urgent,2024-06-07 00:28:00,2024-06-07 05:10:36,A0037,4
T0003155,agoda,PHONE,cancellation,Medium,2024-11-02 06:08:00,2024-11-02 08:26:00,A0055,3
T0004330,agoda,phone,General Query,High,2024-07-29 17:31:00,2024-07-30 02:06:24,A0014,1
T0003390,priceline,chat,GENERAL QUERY,Low,2024-12-25 00:07:00,2024-12-25 06:20:12,A0008,4
T0001875,Booking.com,social,Cancellation,Medium,2025-04-17 07:24:00,2025-04-17 14:16:12,A0009,4
T0002619,KAYAK,Email,BOOKING CHANGE,Medium,2024-06-30 19:26:00,2024-06-30 23:31:24,A0057,1
T0002955,KAYAK,social,Booking Change ,High,2025-02-06 10:26:00,2025-02-07 12:11:00,A0021,2
T0002050,Booking.com,email,TECHNICAL ISSUE,Low,2025-01-20 19:29:00,2025-01-20 21:59:36,A0026,
T0001576,Booking.com,phone,Billing,Urgent,2025-03-10 05:30:00,2025-03-10 10:42:00,A0029,5
T0002923,priceline,email,General Query,Medium,2024-08-21 14:03:00,,A0013,
T0004122,KAYAK,chat,Technical Issue,Urgent,2024-07-03 20:52:00,2024-07-03 21:05:48,A0046,4
T0004809,Booking.com,chat,Cancellation,Low,2025-03-26 06:30:00,2025-03-26 07:24:00,A0001,
T0000351,priceline,social,Technical Issue,Medium,2025-01-22 05:40:00,2025-01-22 12:07:36,A0041,2
T0003765,priceline,email,Booking Change,Medium,2025-04-21 16:01:00,2025-04-22 05:39:24,A0028,
T0002224,KAYAK,social,Booking Change,Medium,2024-07-15 23:11:00,2024-07-16 08:30:48,A0040,3
T0004739,KAYAK,chat,Booking Change,Medium,2025-04-12 11:00:00,2025-04-12 13:51:00,A0051,5
T0004666,KAYAK,email,billing,Urgent,2025-03-17 19:15:00,2025-03-17 20:33:00,A0005,2
T0004860,Booking.com,email,General Query,Urgent,2024-10-17 02:34:00,2024-10-17 08:16:00,A0015,3
T0000487,KAYAK,phone,Booking Change,Medium,2025-01-11 19:42:00,2025-01-11 22:28:12,A0016,5
T0002567,priceline,phone,Technical Issue,High,2024-11-27 04:11:00,2024-11-27 17:06:12,A0060,10
T0000679,agoda,social,Billing,Urgent,10/09/2024 22:27,2024-09-11 03:44:24,A0047,
T0001359,Booking.com,email,CANCELLATION,Medium,2025-04-19 18:47:00,2025-04-21 14:38:36,A0060,
T0004456,agoda,phone,Booking Change ,High,2025-04-13 23:56:00,,A0033,
T0001247,KAYAK,e-mail,Billing,High,2025-04-16 17:58:00,2025-04-17 18:03:24,A0034,
T0003793,KAYAK,email,cancellation,Urgent,2024-11-13 21:32:00,,A0004,
T0003227,agoda,social,Booking Change,High,2025-03-15 05:31:00,2025-03-16 00:17:12,A0036,5
T0000598,priceline,chat,Booking Change,Medium,2024-06-30 02:09:00,2024-06-30 08:16:12,A0014,
T0003009,priceline,social,General Query,High,2024-08-01 13:54:00,,A0046,
T0002521,KAYAK,social,Billing,Low,17/08/2024 04:39,2024-08-18 01:55:12,A0012,
T0002111,Booking.com,email,General Query,Medium,16/01/2025 05:01,,A0040,
T0002118,KAYAK,chat,Cancellation,High,2025-04-07 12:20:00,2025-04-07 16:59:00,A0014,
T0002388,agoda,chat,Technical Issue,High,2025-02-10 18:30:00,2025-02-10 23:55:12,A0003,3
T0000912,priceline,phone,Billing,Low,2024-11-09 03:43:00,2024-11-09 04:29:48,A0002,
T0000591,Booking.com,PHONE,general query,Medium,2025-04-29 17:09:00,2025-04-29 22:55:48,A0050,4
T0001722,KAYAK,PHONE,Booking Change,Low,2024-08-31 23:43:00,,A0053,
T0000051,priceline,email,Billing ,Low,04/12/2024 23:57,2024-12-05 08:08:24,A0058,4
T0004742,agoda,chat,Booking Change,Medium,2024-09-12 01:27:00,,A0007,
T0002861,priceline,phone,billing,High,2024-09-22 02:55:00,2024-09-22 03:19:00,A0027,
T0000439,priceline,chat,Cancellation,Urgent,2025-03-12 14:02:00,2025-03-12 16:26:00,A0031,
T0003335,KAYAK,chat,Booking Change ,High,2025-01-21 21:32:00,2025-01-22 21:45:48,A0044,3
T0002676,agoda,email,Technical Issue,Medium,2025-02-24 14:35:00,2025-02-24 23:52:24,A0033,5
T0000575,KAYAK,Email,Technical Issue,Low,2024-12-01 07:48:00,2024-12-01 11:58:12,,1
T0001743,Booking.com,email,TECHNICAL ISSUE,Low,2025-05-19 09:25:00,,A0058,
T0003958,Booking.com,phone,General Query,High,2025-03-16 05:08:00,2025-03-16 05:29:36,A0018,1
T0001819,KAYAK,Email,Billing,Low,08/03/2025 17:04,2025-03-08 19:55:00,A0007,9
T0002760,KAYAK,chat,Billing,Urgent,2024-11-10 14:01:00,2024-11-12 09:38:12,A0021,4
T0003687,Booking.com,PHONE,Technical Issue,Low,2025-01-29 18:09:00,2025-01-29 19:37:12,A0050,3
T0001759,KAYAK,chat,Cancellation,Low,2024-12-23 00:37:00,2024-12-23 22:26:48,A0038,
T0004552,agoda,email,Technical Issue,High,2024-09-13 06:18:00,2024-09-13 12:41:24,A0055,1
T0004458,priceline,chat,Booking Change,Low,2024-06-22 08:04:00,,A0028,
T0004514,Booking.com,CHAT,Cancellation,Medium,2024-12-05 22:21:00,2024-12-06 01:42:36,A0057,1
T0002179,agoda,phone,Cancellation,Medium,2025-03-07 04:23:00,2025-03-09 05:02:36,A0030,3
T0004611,priceline,phone,technical issue,High,04/09/2024 22:35,,A0035,
T0001219,agoda,phone,Cancellation ,High,2024-10-28 06:57:00,2024-10-28 18:20:24,A0021,3
T0001799,Booking.com,email,General Query,Low,2025-05-29 04:12:00,2025-05-29 04:27:00,A0054,
T0003505,priceline,phone,cancellation,Medium,2024-10-27 04:30:00,2024-10-27 11:33:00,A0016,
T0004180,agoda,phone,Billing ,Urgent,2024-11-26 17:51:00,2024-11-27 07:31:12,A0047,2
T0002350,agoda,chat,Cancellation,High,2024-11-09 06:49:00,2024-11-09 12:10:00,A0020,5
T0001258,priceline,chat,General Query,High,11/06/2024 20:04,2024-06-12 00:12:24,A0004,5
T0001347,agoda,chat,Cancellation,Low,28/05/2025 00:46,2025-05-28 02:52:00,A0051,2
T0003767,priceline,chat,technical issue,Low,13/12/2024 17:14,,A0014,
T0002980,Booking.com,chat,Cancellation,Low,2024-09-16 16:14:00,2024-09-18 19:43:24,A0030,
T0003729,Booking.com,chat,CANCELLATION,Medium,2025-01-07 20:59:00,2025-01-08 06:36:48,A0042,5
T0002213,priceline,Email,Technical Issue,High,2024-10-31 11:13:00,,A0045,
T0004587,KAYAK,chat,Booking Change,Low,2024-09-01 09:32:00,2024-09-01 19:09:48,A0053,
T0004799,Booking.com,phone,Technical Issue,Medium,2024-08-23 23:08:00,2024-08-24 04:48:12,A0021,
T0001178,KAYAK,email,Cancellation,Urgent,04/03/2025 23:52,2025-03-05 10:37:00,A0013,10
T0002247,priceline,PHONE,Billing ,High,2025-01-22 23:54:00,2025-01-23 00:44:24,A0051,
T0001244,agoda,social,Cancellation,High,2025-05-15 00:13:00,2025-05-15 01:02:12,A0006,4
T0003253,Booking.com,email,General Query,Urgent,2024-10-03 20:05:00,2024-10-04 22:44:36,A0008,1
T0002872,priceline,social,Technical Issue,Urgent,2024-07-02 06:10:00,2024-07-02 16:16:36,A0001,3
T0000234,KAYAK,chat,Billing,Medium,2024-06-29 21:12:00,2024-06-30 02:40:12,A0021,4
T0000751,priceline,phone,Cancellation,Urgent,13/03/2025 12:46,2025-03-13 19:50:48,A0050,
T0002059,Booking.com,chat,Billing,Medium,2024-10-31 19:32:00,2024-11-01 14:09:12,A0036,1
T0002616,agoda,chat,GENERAL QUERY,Low,2025-03-07 07:13:00,,A0032,
T0001455,Booking.com,email,technical issue,Urgent,2024-08-22 03:20:00,2024-08-22 09:41:00,A0012,2
T0003780,priceline,Email,Technical Issue,Urgent,01/08/2024 03:49,2024-08-01 20:04:00,A0051,1
T0003174,agoda,email,General Query,High,2024-11-12 20:04:00,2024-11-13 02:51:24,A0007,4
T0002145,Booking.com,phone,Billing,High,2024-09-25 15:51:00,2024-09-26 09:16:48,A0014,5
T0003594,priceline,chat,Booking Change,Medium,2025-01-17 05:53:00,2025-01-17 18:17:00,A0012,2
T0003725,priceline,e-mail,Bill,Medium,29/04/2025 19:14,2025-04-30 09:59:00,A0003,5
T0003735,KAYAK,email,Billing ,Urgent,2024-09-11 22:03:00,,A0024,
T0003757,priceline,chat,Bill,Urgent,2025-05-28 06:30:00,2025-05-28 17:29:24,A0011,
T0002256,priceline,CHAT,General Query,Low,2024-12-11 16:29:00,2024-12-11 19:59:36,A0012,5
T0001939,agoda,chat,billing,Low,29/10/2024 20:21,2024-10-30 15:41:24,A0047,
T0001279,agoda,email,Billing,Low,2025-04-25 23:40:00,2025-04-26 00:58:00,A0046,
T0003058,priceline,chat,Technical Issue,Urgent,02/06/2024 02:07,2024-06-03 06:34:36,A0038,4
T0000701,priceline,Email,Technical Issue,Urgent,2025-01-20 10:29:00,2025-01-21 02:24:48,A0052,
T0003191,Booking.com,chat,Technical Issue,High,2025-02-26 09:28:00,,A0016,
T0000529,agoda,phone,General Query,Medium,27/12/2024 13:54,2024-12-27 18:34:48,A0046,5
T0002746,priceline,chat,Billing,High,2025-03-11 01:07:00,2025-03-11 04:46:00,A0048,3
T0003424,priceline,email,Booking Change,Low,2024-10-20 08:41:00,2024-10-20 19:32:00,A0037,3
T0001613,priceline,chat,Cancellation,Low,2024-06-16 08:53:00,2024-06-16 10:09:12,A0036,
T0002367,Booking.com,phone,General Query,Low,2025-04-01 04:30:00,2025-04-03 18:23:24,A0011,
T0004112,Booking.com,e-mail,Technical Issue,Urgent,2024-06-22 19:59:00,,A0024,
T0004927,Booking.com,social,Billing,Urgent,2025-03-26 23:52:00,2025-03-27 00:14:12,A0059,
T0000649,KAYAK,social,General Query,Urgent,2024-07-28 07:34:00,2024-07-29 05:25:36,A0006,4
T0002803,Booking.com,SOCIAL,Billing,High,2025-04-09 18:16:00,2025-04-09 21:05:12,A0047,4
T0000003,KAYAK,chat,General Query,Low,2024-11-07 02:09:00,2024-11-07 05:42:36,A0049,3
T0003073,KAYAK,social,Booking Change ,Low,22/02/2025 01:53,2025-02-22 08:40:24,A0050,3
T0004928,agoda,chat,Cancellation ,Urgent,2025-04-08 08:12:00,2025-04-08 10:15:00,A0038,
T0001980,KAYAK,chat,GENERAL QUERY,Low,2025-02-12 21:10:00,,A0046,
